FIPS,CorrectedName
AT,Ashmore and Cartier Islands
AX,Akrotiri
BQ,Navassa Island
BS,Bassas da India
CR,Coral Sea Islands
DQ,Jarvis Island
DX,Dhekelia
EU,Europa Island
FQ,Baker Island
GO,Glorioso Islands
HQ,Howland Island
IP,Clipperton Island
JQ,Johnston Atoll
JU,Juan de Nova Island
KQ,Kingman Reef
LQ,Palmyra Atoll
MQ,Midway Islands
OD,South Sudan
PF,Paracel Islands
PG,Spratly Islands
PJ,"Etorofu, Habomai, Kunashiri, and Shikotan Islands"
SS,South Sudan
TE,Tromelin Island
VA,Holy See (Vatican City)
VT,Holy See (Vatican City)
WQ,Wake Island
ZZ,Iles Eparses
