FIPS,EntityType
AX,territory
AY,antarctic
BQ,territory
BS,territory
DQ,territory
DX,territory
EE,misc
EU,territory
FM,freely_associated
FQ,territory
GK,crown_dependency
GO,territory
GZ,disputed
HK,special_admin
HQ,territory
IM,crown_dependency
IP,territory
JE,crown_dependency
JQ,territory
JU,territory
KQ,territory
KV,disputed
LQ,territory
MC,special_admin
MQ,territory
NT,dissolved
OO,misc
PF,disputed
PG,disputed
PJ,disputed
PS,freely_associated
RM,freely_associated
TE,territory
UM,territory
VT,sovereign
WE,disputed
WI,disputed
WQ,territory
XO,misc
XQ,misc
XX,misc
YI,dissolved
ZH,misc
ZN,misc
ZZ,territory
