SubField,ParentField
Contiguous zone,Maritime claims
Continental shelf,Maritime claims
Crude oil - exports,Petroleum
Crude oil - imports,Petroleum
Crude oil - production,Petroleum
Crude oil - proved reserves,Petroleum
Electricity - capacity,Electricity
Electricity - consumption,Electricity
Electricity - consumption per capita,Energy consumption per capita
Electricity - exports,Electricity
Electricity - from fossil fuels,Electricity generation sources
Electricity - from hydroelectric plants,Electricity generation sources
Electricity - from nuclear fuels,Electricity generation sources
Electricity - from other renewable sources,Electricity generation sources
Electricity - imports,Electricity
Electricity - installed generating capacity,Electricity
Electricity - production,Electricity
Electricity - production by source,Electricity generation sources
Electricity production by source,Electricity generation sources
Exclusive economic zone,Maritime claims
Exclusive fishing zone,Maritime claims
Extended economic zone,Maritime claims
Gulf of Sidra closing line,Maritime claims
Manpower available for military service,Military and security service personnel strengths
Manpower fit for military service,Military and security service personnel strengths
Manpower reaching militarily significant age annually,Military service age and obligation
Manpower reaching military service age annually,Military service age and obligation
Military boundary line,Maritime claims
Military expenditures - dollar figure,Military expenditures
Military expenditures - percent of GDP,Military expenditures
Military manpower,Military and security service personnel strengths
Military manpower - availability,Military and security service personnel strengths
Military manpower - fit for military service,Military and security service personnel strengths
Military manpower - military age,Military service age and obligation
Military manpower - military age and obligation,Military service age and obligation
Military manpower - reaching military age annually,Military service age and obligation
Natural gas - consumption,Natural gas
Natural gas - exports,Natural gas
Natural gas - imports,Natural gas
Natural gas - production,Natural gas
Natural gas - proved reserves,Natural gas
Oil - consumption,Petroleum
Oil - exports,Petroleum
Oil - imports,Petroleum
Oil - production,Petroleum
Oil - proved reserves,Petroleum
Refined petroleum products - consumption,Petroleum
Refined petroleum products - exports,Petroleum
Refined petroleum products - imports,Petroleum
Refined petroleum products - production,Petroleum
